REAL - Entrada,REAL - Saída,tpv_usina,cum_avg
2021-01-13,2021-01-13 17:00:00,4.103333333333333,3.774756892230576
2021-01-13,2021-01-13 17:30:00,5.224285714285714,3.7911857142857146
2021-01-13,2021-01-13 18:00:00,2.885,3.859428571428571
2021-01-13,2021-01-13 18:30:00,5.816666666666666,3.815136363636364
2021-01-13,2021-01-13 19:00:00,5.24,3.902159420289855
2021-01-13,2021-01-13 19:30:00,3.83,3.9579027777777775
2021-01-13,2021-01-13 20:00:00,5.05,3.9527866666666664
2021-01-13,2021-01-13 20:30:00,5.25,3.9949871794871794
2021-01-13,2021-01-13 21:00:00,5.651111111111111,4.041469135802469
2021-01-13,2021-01-13 21:30:00,5.22,4.098956349206349
2021-01-13,2021-01-13 22:00:00,4.6825,4.137613026819923
2021-01-13,2021-01-13 22:30:00,4.8966666666666665,4.155775925925926
2021-01-13,2021-01-13 23:00:00,5.4,4.179675627240143
2021-01-13,2021-01-13 23:30:00,5.285,4.217810763888889
2021-01-13,2021-01-14 00:00:00,8.69,4.250149831649832
2021-01-13,2021-01-14 01:30:00,11.81,4.380733660130719
2021-01-14,2021-01-14 07:00:00,1.64,1.6399999999999997
2021-01-14,2021-01-14 07:30:00,2.41,1.6399999999999997
2021-01-14,2021-01-14 08:00:00,2.29,2.025
2021-01-14,2021-01-14 09:30:00,3.5149999999999997,2.1133333333333337
2021-01-14,2021-01-14 10:00:00,2.8016666666666663,2.46375
2021-01-14,2021-01-14 10:30:00,4.273333333333333,2.5313333333333334
2021-01-14,2021-01-14 11:00:00,3.1950000000000003,2.8216666666666668
2021-01-14,2021-01-14 11:30:00,4.54,2.875
2021-01-14,2021-01-14 12:00:00,3.2175000000000002,3.083125
2021-01-14,2021-01-14 12:30:00,2.9225,3.098055555555556
2021-01-14,2021-01-14 13:00:00,3.4299999999999997,3.0805
2021-01-14,2021-01-14 14:00:00,3.04,3.1122727272727273
2021-01-14,2021-01-14 14:30:00,4.325714285714286,3.1062500000000006
2021-01-14,2021-01-14 15:00:00,4.0975,3.200054945054945
